Latin_name,Common_name,Tree_Hollow_Use,Head_Body_Length_mm,Body_Mass_g
Lepilemur mustelinus,Weasel Sportive Lemur,1,280,1000
Lepilemur otto,Ambodimahabibo Sportive Lemur,1,284,938.5
Lepilemur petteri,Petter's Sportive Lemur,1,256.5,630
Lepilemur randrianasoloi,Bemaraha Sportive Lemur,0,287,788
Lepilemur ruficaudatus,Red-tailed Sportive Lemur,1,308.5,804.5
Lepilemur sahamalazensis,Sahamalaza Sportive Lemur,1,258.5,739
Lepilemur scottorum,Masoala Sportive Lemur,0,265,957.5
Lepilemur seali,Seal's Sportive Lemur,0,720,950
Lepilemur septentrionalis,Sahafary Sportive Lemur,1,185,675
Lepilemur tymerlachsoni,Nosy Be Sportive Lemur,1,230,880
Lepilemur wrightae,Wright's Sportive Lemur,1,250,1850
Loris lydekkerianus,Gray Slender Loris,0,221.5,235.87
Loris tardigradus,Red Slender Loris,0,146,147.5
Mico acariensis,Rio Acarí Marmoset,0,,
Mico argentatus,Silvery Marmoset,0,215.8,351.65
Mico chrysoleucos,Golden-white Tassel-ear Marmoset,0,232,295
Mico emiliae,Snethlage's Marmoset,0,199,
Mico humeralifer,Santarém Marmoset,0,217.4,473.5
Mico humilis,Black-crowned Dwarf Marmoset,0,160.5,152
Mico intermedius,Rio Aripuanã Marmoset,0,220,425
Mico leucippe,Golden-white Bare-ear Marmoset,0,237.3,330
Mico marcai,Marca's Marmoset,0,570.75,382
Mico mauesi,Maués Marmoset,0,215,515
Mico melanurus,Black-tailed Marmoset,1,225.9,393
Mico nigriceps,Black-headed Marmoset,0,209.3,360
Mico rondoni,Rondon's Marmoset,0,220,326.9
Mico saterei,Sateré Marmoset,1,214.25,441.25
Microcebus arnholdi,Montagne d'Ambre Mouse Lemur,0,113,46
Microcebus berthae,Madame Berthe's Mouse Lemur,1,122.75,31.6
Microcebus bongolavensis,Bongolava Mouse Lemur,0,123,53.8
Microcebus boraha,Nosy Boraha Mouse Lemur,0,,
Microcebus danfossi,Ambarijeby Mouse Lemur,1,124.7,62.8
Microcebus ganzhorni,Ganzhorn's Mouse Lemur,0,,
Microcebus gerpi,Gerp's Mouse Lemur,0,120.71,68.29
Microcebus griseorufus,Gray-brown Mouse Lemur,1,114.5,52.5
Microcebus jollyae,Jolly's Mouse Lemur,0,130,50.55
Microcebus lehilahytsara,Goodman's Mouse Lemur,0,90.5,46.5
Microcebus macarthurii,Anjiahely Mouse Lemur,0,115,53.67
Microcebus mamiratra,Nosy Be Mouse Lemur,0,127,55
Microcebus manitatra,Bemanasy Mouse Lemur,0,,
Microcebus margotmarshae,Margot Marsh's Mouse Lemur,0,,41
Microcebus marohita,Marohita Mouse Lemur,0,136,76.5
Microcebus mittermeieri,Mittermeier's Mouse Lemur,0,80,40
Microcebus murinus,Gray Mouse Lemur ,1,129.4,57.9
